learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.841125488,N/A,N/A,N/A,No Recommendation Request
1,4,1,0.238,0.877,0.163,0.037902832,0.50869751,0.951446533,N/A,No Rating Submission
1,4,2,0.238,0.877,0.163,0.886047363,N/A,N/A,N/A,No Recommendation Request
1,4,3,0.238,0.877,0.163,0.295806885,N/A,N/A,N/A,No Recommendation Request
2,8,0,0.201,0.881,0.16,0.636291504,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.471252441,N/A,N/A,N/A,No Recommendation Request
2,8,2,0.201,0.881,0.16,0.766815186,N/A,N/A,N/A,No Recommendation Request
2,8,3,0.201,0.881,0.16,0.274658203,N/A,N/A,N/A,No Recommendation Request
2,8,4,0.201,0.881,0.16,0.766540527,N/A,N/A,N/A,No Recommendation Request
2,8,5,0.201,0.881,0.16,0.133178711,0.210327148,0.241027832,N/A,No Rating Submission
2,8,6,0.201,0.881,0.16,0.196472168,0.02432251,0.211547852,N/A,No Rating Submission
2,8,7,0.201,0.881,0.16,0.616516113,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.255493164,N/A,N/A,N/A,No Recommendation Request
3,10,1,0.215,0.875,0.15,0.285095215,N/A,N/A,N/A,No Recommendation Request
3,10,2,0.215,0.875,0.15,0.395202637,N/A,N/A,N/A,No Recommendation Request
3,10,3,0.215,0.875,0.15,0.979217529,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.98626709,N/A,N/A,N/A,No Recommendation Request
3,10,5,0.215,0.875,0.15,0.576629639,N/A,N/A,N/A,No Recommendation Request
3,10,6,0.215,0.875,0.15,0.755645752,N/A,N/A,N/A,No Recommendation Request
3,10,7,0.215,0.875,0.15,0.133453369,0.620544434,0.693695068,N/A,No Rating Submission
3,10,8,0.215,0.875,0.15,0.784973145,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.296600342,N/A,N/A,N/A,No Recommendation Request
4,13,0,0.229,0.865,0.154,0.563934326,N/A,N/A,N/A,No Recommendation Request
4,13,1,0.229,0.865,0.154,0.601531982,N/A,N/A,N/A,No Recommendation Request
4,13,2,0.229,0.865,0.154,0.239227295,N/A,N/A,N/A,No Recommendation Request
4,13,3,0.229,0.865,0.154,0.157958984,0.943664551,N/A,N/A,No Recommendation Follow
4,13,4,0.229,0.865,0.154,0.93170166,N/A,N/A,N/A,No Recommendation Request
4,13,5,0.229,0.865,0.154,0.523712158,N/A,N/A,N/A,No Recommendation Request
4,13,6,0.229,0.865,0.154,0.344909668,N/A,N/A,N/A,No Recommendation Request
4,13,7,0.229,0.865,0.154,0.439788818,N/A,N/A,N/A,No Recommendation Request
4,13,8,0.229,0.865,0.154,0.79309082,N/A,N/A,N/A,No Recommendation Request
4,13,9,0.229,0.865,0.154,0.356658936,N/A,N/A,N/A,No Recommendation Request
4,13,10,0.229,0.865,0.154,0.109863281,0.445098877,0.042572021,2,
4,13,11,0.229,0.865,0.154,0.116912842,0.226470947,0.916412354,N/A,No Rating Submission
4,13,12,0.229,0.865,0.154,0.708526611,N/A,N/A,N/A,No Recommendation Request
5,9,0,0.22,0.871,0.172,0.209197998,0.455383301,0.185211182,N/A,No Rating Submission
5,9,1,0.22,0.871,0.172,0.352203369,N/A,N/A,N/A,No Recommendation Request
5,9,2,0.22,0.871,0.172,0.173217773,0.031341553,0.518432617,N/A,No Rating Submission
5,9,3,0.22,0.871,0.172,0.518280029,N/A,N/A,N/A,No Recommendation Request
5,9,4,0.22,0.871,0.172,0.625671387,N/A,N/A,N/A,No Recommendation Request
5,9,5,0.22,0.871,0.172,0.255554199,N/A,N/A,N/A,No Recommendation Request
5,9,6,0.22,0.871,0.172,0.306945801,N/A,N/A,N/A,No Recommendation Request
5,9,7,0.22,0.871,0.172,0.785949707,N/A,N/A,N/A,No Recommendation Request
5,9,8,0.22,0.871,0.172,0.194732666,0.440795898,0.498352051,N/A,No Rating Submission
6,19,0,0.22,0.863,0.181,0.047180176,0.885437012,N/A,N/A,No Recommendation Follow
6,19,1,0.22,0.863,0.181,0.783935547,N/A,N/A,N/A,No Recommendation Request
6,19,2,0.22,0.863,0.181,0.136749268,0.058532715,0.05178833,0,
6,19,3,0.22,0.863,0.181,0.627532959,N/A,N/A,N/A,No Recommendation Request
6,19,4,0.22,0.863,0.181,0.953704834,N/A,N/A,N/A,No Recommendation Request
6,19,5,0.22,0.863,0.181,0.625091553,N/A,N/A,N/A,No Recommendation Request
6,19,6,0.22,0.863,0.181,0.034698486,0.063049316,0.221923828,N/A,No Rating Submission
6,19,7,0.22,0.863,0.181,0.858520508,N/A,N/A,N/A,No Recommendation Request
6,19,8,0.22,0.863,0.181,0.497436523,N/A,N/A,N/A,No Recommendation Request
6,19,9,0.22,0.863,0.181,0.150756836,0.584533691,0.94519043,N/A,No Rating Submission
6,19,10,0.22,0.863,0.181,0.125946045,0.059265137,0.338928223,N/A,No Rating Submission
6,19,11,0.22,0.863,0.181,0.507049561,N/A,N/A,N/A,No Recommendation Request
6,19,12,0.22,0.863,0.181,0.47946167,N/A,N/A,N/A,No Recommendation Request
6,19,13,0.22,0.863,0.181,0.511016846,N/A,N/A,N/A,No Recommendation Request
