learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,1,0.238,0.877,0.163,0.794525,0
1,4,2,0.238,0.877,0.163,0.767853,1
2,8,5,0.201,0.881,0.16,0.800171,0
3,10,0,0.215,0.875,0.15,0.651764,8
3,10,7,0.215,0.875,0.15,0.081329,0
4,13,1,0.229,0.865,0.154,0.283478,3
4,13,2,0.229,0.865,0.154,0.135529,7
4,13,9,0.229,0.865,0.154,0.726898,8
5,9,0,0.22,0.871,0.172,0.539032,7
5,9,2,0.22,0.871,0.172,0.613861,8
5,9,5,0.22,0.871,0.172,0.037628,5
5,9,7,0.22,0.871,0.172,0.671936,3
5,9,8,0.22,0.871,0.172,0.505371,2
6,19,0,0.22,0.863,0.181,0.207947,7
6,19,5,0.22,0.863,0.181,0.233521,8
6,19,8,0.22,0.863,0.181,0.040222,3
6,19,12,0.22,0.863,0.181,0.007172,9
6,19,16,0.22,0.863,0.181,0.485687,5
6,19,17,0.22,0.863,0.181,0.271301,1
8,10,9,0.223,0.887,0.165,0.896942,8
9,13,4,0.199,0.871,0.156,0.115417,8
9,13,11,0.199,0.871,0.156,0.923889,3
11,2,1,0.194,0.867,0.189,0.703949,8
12,19,16,0.221,0.877,0.142,0.266968,8
12,19,18,0.221,0.877,0.142,0.869202,3
13,8,6,0.232,0.87,0.181,0.836212,8
13,8,7,0.232,0.87,0.181,0.80838,2
14,7,1,0.219,0.871,0.161,0.084076,8
14,7,3,0.219,0.871,0.161,0.614166,2
14,7,4,0.219,0.871,0.161,0.481842,3
17,16,0,0.22,0.885,0.159,0.477539,2
17,16,4,0.22,0.885,0.159,0.320831,3
18,10,3,0.213,0.871,0.173,0.995392,9
18,10,5,0.213,0.871,0.173,0.201263,1
18,10,6,0.213,0.871,0.173,0.751404,0
19,5,0,0.203,0.874,0.147,0.836823,9
19,5,4,0.203,0.874,0.147,0.234833,0
20,16,5,0.203,0.875,0.159,0.835968,0
21,6,0,0.224,0.868,0.161,0.344086,0
21,6,1,0.224,0.868,0.161,0.756134,4
21,6,2,0.224,0.868,0.161,0.935822,9
22,11,1,0.213,0.886,0.179,0.008545,0
22,11,8,0.213,0.886,0.179,0.396606,6
22,11,10,0.213,0.886,0.179,0.80838,4
24,12,8,0.204,0.882,0.181,0.841827,6
25,15,2,0.222,0.878,0.162,0.818237,6
25,15,13,0.222,0.878,0.162,0.689178,4
26,20,1,0.21,0.877,0.164,0.917023,6
26,20,3,0.21,0.877,0.164,0.703674,4
26,20,5,0.21,0.877,0.164,0.065094,9
26,20,11,0.21,0.877,0.164,0.815491,2
26,20,14,0.21,0.877,0.164,0.394592,0
26,20,16,0.21,0.877,0.164,0.102234,1
26,20,17,0.21,0.877,0.164,0.946991,8
26,20,18,0.21,0.877,0.164,0.322815,3
27,10,1,0.197,0.884,0.171,0.358643,4
27,10,9,0.197,0.884,0.171,0.536316,0
28,20,13,0.222,0.858,0.156,0.425079,4
29,20,10,0.225,0.848,0.187,0.037262,4
29,20,14,0.225,0.848,0.187,0.856842,0
29,20,16,0.225,0.848,0.187,0.456635,9
29,20,17,0.225,0.848,0.187,0.878052,3
30,13,3,0.214,0.883,0.167,0.029907,4
30,13,9,0.214,0.883,0.167,0.810883,0
30,13,11,0.214,0.883,0.167,0.897278,3
31,10,0,0.21,0.878,0.158,0.584503,0
32,15,6,0.224,0.892,0.171,0.186279,0
32,15,10,0.224,0.892,0.171,0.180725,3
32,15,11,0.224,0.892,0.171,0.001831,8
33,22,1,0.215,0.885,0.181,0.08902,0
33,22,4,0.215,0.885,0.181,0.393311,3
33,22,5,0.215,0.885,0.181,0.696259,8
33,22,11,0.215,0.885,0.181,0.611725,5
33,22,14,0.215,0.885,0.181,0.599213,7
35,23,1,0.211,0.883,0.171,0.080414,3
35,23,5,0.211,0.883,0.171,0.893982,0
35,23,8,0.211,0.883,0.171,0.488068,8
35,23,11,0.211,0.883,0.171,0.993317,5
35,23,18,0.211,0.883,0.171,0.519714,7
35,23,20,0.211,0.883,0.171,0.336456,9
36,19,6,0.226,0.864,0.15,0.539703,3
36,19,8,0.226,0.864,0.15,0.847046,7
36,19,10,0.226,0.864,0.15,0.103302,5
36,19,13,0.226,0.864,0.15,0.603271,8
36,19,17,0.226,0.864,0.15,0.076843,2
37,9,1,0.204,0.862,0.175,0.466217,7
37,9,6,0.204,0.862,0.175,0.942871,5
38,27,2,0.186,0.87,0.168,0.591492,7
38,27,22,0.186,0.87,0.168,0.021515,5
38,27,24,0.186,0.87,0.168,0.318848,8
39,5,1,0.233,0.878,0.159,0.151337,8
39,5,4,0.233,0.878,0.159,0.532135,5
40,16,0,0.217,0.889,0.162,0.007202,8
40,16,2,0.217,0.889,0.162,0.057098,5
40,16,12,0.217,0.889,0.162,0.368622,2
41,17,5,0.222,0.866,0.147,0.141174,8
41,17,7,0.222,0.866,0.147,0.668518,5
41,17,8,0.222,0.866,0.147,0.044586,7
41,17,10,0.222,0.866,0.147,0.664642,2
43,19,0,0.208,0.866,0.186,0.179871,5
43,19,13,0.208,0.866,0.186,0.519318,7
44,18,0,0.229,0.874,0.148,0.57605,5
44,18,6,0.229,0.874,0.148,0.607788,8
44,18,13,0.229,0.874,0.148,0.105438,7
45,23,3,0.212,0.857,0.18,0.78772,5
45,23,6,0.212,0.857,0.18,0.478424,8
45,23,11,0.212,0.857,0.18,0.240631,7
45,23,17,0.212,0.857,0.18,0.365997,2
45,23,20,0.212,0.857,0.18,0.473938,0
46,15,1,0.215,0.874,0.166,0.079529,5
46,15,2,0.215,0.874,0.166,0.12323,8
46,15,7,0.215,0.874,0.166,0.278076,7
46,15,11,0.215,0.874,0.166,0.920715,3
47,10,3,0.204,0.889,0.168,0.612457,5
47,10,4,0.204,0.889,0.168,0.288696,8
48,11,0,0.235,0.876,0.14,0.255249,5
48,11,1,0.235,0.876,0.14,0.535187,7
48,11,6,0.235,0.876,0.14,0.612305,8
48,11,7,0.235,0.876,0.14,0.808167,3
49,29,2,0.196,0.879,0.164,0.53183,5
49,29,5,0.196,0.879,0.164,0.376862,8
49,29,6,0.196,0.879,0.164,0.193451,3
49,29,7,0.196,0.879,0.164,0.029297,7
49,29,9,0.196,0.879,0.164,0.905121,2
49,29,15,0.196,0.879,0.164,0.315002,4
49,29,17,0.196,0.879,0.164,0.506989,6
49,29,26,0.196,0.879,0.164,0.699982,9
50,11,0,0.227,0.872,0.161,0.582245,7
50,11,2,0.227,0.872,0.161,0.134583,5
50,11,4,0.227,0.872,0.161,0.980652,8
50,11,6,0.227,0.872,0.161,0.544861,2
50,11,7,0.227,0.872,0.161,0.753571,3
50,11,8,0.227,0.872,0.161,0.66394,6
50,11,9,0.227,0.872,0.161,0.170441,1
52,16,0,0.214,0.861,0.158,0.973358,7
52,16,1,0.214,0.861,0.158,0.753082,5
52,16,5,0.214,0.861,0.158,0.554016,2
52,16,7,0.214,0.861,0.158,0.049072,3
52,16,11,0.214,0.861,0.158,0.174713,8
52,16,14,0.214,0.861,0.158,0.119812,6
52,16,15,0.214,0.861,0.158,0.451843,1
53,21,0,0.213,0.877,0.152,0.968048,2
53,21,9,0.213,0.877,0.152,0.455566,8
53,21,14,0.213,0.877,0.152,0.31723,0
53,21,20,0.213,0.877,0.152,0.867676,4
54,20,7,0.213,0.88,0.162,0.285583,2
54,20,12,0.213,0.88,0.162,0.850983,8
55,20,3,0.214,0.885,0.152,0.659332,2
55,20,6,0.214,0.885,0.152,0.345551,0
55,20,16,0.214,0.885,0.152,0.336365,4
56,12,1,0.225,0.878,0.157,0.336029,0
56,12,9,0.225,0.878,0.157,0.512146,4
56,12,10,0.225,0.878,0.157,0.076691,8
57,27,3,0.2,0.865,0.169,0.298676,0
57,27,6,0.2,0.865,0.169,0.291107,4
57,27,9,0.2,0.865,0.169,0.355682,8
57,27,24,0.2,0.865,0.169,0.499878,9
58,10,1,0.205,0.87,0.162,0.151764,0
58,10,7,0.205,0.87,0.162,0.450653,4
59,19,1,0.222,0.869,0.161,0.049469,0
59,19,10,0.222,0.869,0.161,0.667175,4
59,19,13,0.222,0.869,0.161,0.182617,8
60,19,1,0.205,0.864,0.158,0.162567,0
60,19,3,0.205,0.864,0.158,0.223236,8
60,19,15,0.205,0.864,0.158,0.367584,3
61,9,2,0.234,0.885,0.157,0.867676,0
61,9,8,0.234,0.885,0.157,0.873871,8
63,14,8,0.217,0.88,0.158,0.913727,0
64,14,2,0.203,0.902,0.153,0.849518,0
64,14,6,0.203,0.902,0.153,0.29126,4
64,14,7,0.203,0.902,0.153,0.242218,6
65,18,0,0.204,0.878,0.172,0.771912,4
65,18,5,0.204,0.878,0.172,0.989655,6
65,18,9,0.204,0.878,0.172,0.095306,2
65,18,12,0.204,0.878,0.172,0.486816,0
65,18,15,0.204,0.878,0.172,0.265961,9
66,17,0,0.211,0.857,0.171,0.489441,4
66,17,6,0.211,0.857,0.171,0.514496,0
66,17,7,0.211,0.857,0.171,0.717316,9
67,9,3,0.209,0.865,0.155,0.581635,3
67,9,8,0.209,0.865,0.155,0.384186,2
68,17,9,0.222,0.872,0.169,0.716187,3
68,17,11,0.222,0.872,0.169,0.043457,2
68,17,15,0.222,0.872,0.169,0.958435,1
68,17,16,0.222,0.872,0.169,0.942993,9
69,19,7,0.226,0.871,0.174,0.808014,3
69,19,9,0.226,0.871,0.174,0.60141,2
69,19,10,0.226,0.871,0.174,0.656799,1
69,19,11,0.226,0.871,0.174,0.378845,9
69,19,13,0.226,0.871,0.174,0.373322,4
69,19,14,0.226,0.871,0.174,0.8349,6
71,20,3,0.189,0.874,0.161,0.927124,3
71,20,5,0.189,0.874,0.161,0.857483,1
71,20,9,0.189,0.874,0.161,0.825836,2
71,20,10,0.189,0.874,0.161,0.324738,0
71,20,16,0.189,0.874,0.161,0.765656,7
72,13,6,0.221,0.887,0.206,0.236237,5
73,18,17,0.207,0.879,0.131,0.79129,5
74,21,3,0.228,0.885,0.184,0.956757,5
74,21,5,0.228,0.885,0.184,0.744202,8
74,21,10,0.228,0.885,0.184,0.202362,3
76,20,5,0.213,0.869,0.169,0.513885,5
76,20,8,0.213,0.869,0.169,0.297485,8
76,20,10,0.213,0.869,0.169,0.256439,3
76,20,17,0.213,0.869,0.169,0.131165,1
76,20,18,0.213,0.869,0.169,0.971588,0
77,17,9,0.196,0.897,0.194,0.727539,0
77,17,12,0.196,0.897,0.194,0.326508,4
77,17,13,0.196,0.897,0.194,0.108398,1
78,20,0,0.219,0.868,0.184,0.244568,0
78,20,2,0.219,0.868,0.184,0.976807,4
78,20,4,0.219,0.868,0.184,0.907715,2
78,20,8,0.219,0.868,0.184,0.49353,1
