learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.795135
1,4,1,0.238,0.877,0.163,0.467773
1,4,2,0.238,0.877,0.163,0.988525
1,4,3,0.238,0.877,0.163,0.610016
2,8,0,0.201,0.881,0.16,0.092834
2,8,0,0.201,0.881,0.16,0.449493
2,8,0,0.201,0.881,0.16,0.447632
2,8,1,0.201,0.881,0.16,0.501587
2,8,2,0.201,0.881,0.16,0.593384
2,8,3,0.201,0.881,0.16,0.784882
2,8,4,0.201,0.881,0.16,0.16806
2,8,4,0.201,0.881,0.16,0.300995
2,8,4,0.201,0.881,0.16,0.49408
2,8,5,0.201,0.881,0.16,0.663757
2,8,6,0.201,0.881,0.16,0.778809
2,8,7,0.201,0.881,0.16,0.033905
2,8,7,0.201,0.881,0.16,0.906464
3,10,0,0.215,0.875,0.15,0.987793
3,10,1,0.215,0.875,0.15,0.294586
3,10,2,0.215,0.875,0.15,0.587463
3,10,3,0.215,0.875,0.15,0.736633
3,10,4,0.215,0.875,0.15,0.486633
3,10,5,0.215,0.875,0.15,0.452545
3,10,6,0.215,0.875,0.15,0.112946
3,10,6,0.215,0.875,0.15,0.869049
3,10,6,0.215,0.875,0.15,0.719818
3,10,7,0.215,0.875,0.15,0.269592
3,10,8,0.215,0.875,0.15,0.633301
3,10,9,0.215,0.875,0.15,0.340393
4,13,0,0.229,0.865,0.154,0.413452
4,13,1,0.229,0.865,0.154,0.396698
4,13,2,0.229,0.865,0.154,0.832245
4,13,3,0.229,0.865,0.154,0.816559
4,13,4,0.229,0.865,0.154,0.066681
4,13,4,0.229,0.865,0.154,0.328888
4,13,4,0.229,0.865,0.154,0.352631
4,13,5,0.229,0.865,0.154,0.435974
4,13,6,0.229,0.865,0.154,0.437561
4,13,7,0.229,0.865,0.154,0.713318
4,13,8,0.229,0.865,0.154,0.380981
4,13,9,0.229,0.865,0.154,0.40155
4,13,10,0.229,0.865,0.154,0.902863
4,13,11,0.229,0.865,0.154,0.933075
4,13,12,0.229,0.865,0.154,0.265167
5,9,0,0.22,0.871,0.172,0.006409
5,9,0,0.22,0.871,0.172,0.973816
5,9,1,0.22,0.871,0.172,0.1745
5,9,1,0.22,0.871,0.172,0.383942
5,9,1,0.22,0.871,0.172,0.18689
5,9,2,0.22,0.871,0.172,0.730469
5,9,3,0.22,0.871,0.172,0.142303
5,9,3,0.22,0.871,0.172,0.184845
5,9,3,0.22,0.871,0.172,0.209961
5,9,4,0.22,0.871,0.172,0.033112
5,9,4,0.22,0.871,0.172,0.970551
5,9,5,0.22,0.871,0.172,0.308472
5,9,6,0.22,0.871,0.172,0.261169
5,9,7,0.22,0.871,0.172,0.71936
5,9,8,0.22,0.871,0.172,0.685333
6,19,0,0.22,0.863,0.181,0.457458
6,19,1,0.22,0.863,0.181,0.800751
6,19,2,0.22,0.863,0.181,0.4711
6,19,3,0.22,0.863,0.181,0.94278
6,19,4,0.22,0.863,0.181,0.138275
6,19,4,0.22,0.863,0.181,0.052765
6,19,4,0.22,0.863,0.181,0.847229
6,19,5,0.22,0.863,0.181,0.579285
6,19,6,0.22,0.863,0.181,0.958862
6,19,7,0.22,0.863,0.181,0.15863
6,19,7,0.22,0.863,0.181,0.870331
6,19,8,0.22,0.863,0.181,0.519165
6,19,9,0.22,0.863,0.181,0.173492
6,19,9,0.22,0.863,0.181,0.972321
6,19,10,0.22,0.863,0.181,0.253601
6,19,11,0.22,0.863,0.181,0.102325
6,19,11,0.22,0.863,0.181,0.306244
6,19,11,0.22,0.863,0.181,0.813965
6,19,12,0.22,0.863,0.181,0.12619
6,19,12,0.22,0.863,0.181,0.582123
6,19,12,0.22,0.863,0.181,0.993988
6,19,13,0.22,0.863,0.181,0.675903
6,19,14,0.22,0.863,0.181,0.934723
6,19,15,0.22,0.863,0.181,0.197876
6,19,15,0.22,0.863,0.181,0.242859
6,19,15,0.22,0.863,0.181,0.444244
6,19,16,0.22,0.863,0.181,0.095947
6,19,16,0.22,0.863,0.181,0.030945
6,19,16,0.22,0.863,0.181,0.65918
6,19,17,0.22,0.863,0.181,0.72998
6,19,18,0.22,0.863,0.181,0.283783
7,8,0,0.209,0.866,0.153,0.466125
7,8,1,0.209,0.866,0.153,0.467926
7,8,2,0.209,0.866,0.153,0.466522
7,8,3,0.209,0.866,0.153,0.666626
7,8,4,0.209,0.866,0.153,0.964294
7,8,5,0.209,0.866,0.153,0.916718
7,8,6,0.209,0.866,0.153,0.702911
7,8,7,0.209,0.866,0.153,0.002686
7,8,7,0.209,0.866,0.153,0.062683
7,8,7,0.209,0.866,0.153,0.65451
8,10,0,0.223,0.887,0.165,0.877686
8,10,1,0.223,0.887,0.165,0.863647
8,10,2,0.223,0.887,0.165,0.753906
8,10,3,0.223,0.887,0.165,0.795349
8,10,4,0.223,0.887,0.165,0.345093
8,10,5,0.223,0.887,0.165,0.455048
8,10,6,0.223,0.887,0.165,0.489502
8,10,7,0.223,0.887,0.165,0.261902
8,10,8,0.223,0.887,0.165,0.155823
8,10,8,0.223,0.887,0.165,0.417358
8,10,8,0.223,0.887,0.165,0.48999
8,10,9,0.223,0.887,0.165,0.029785
8,10,9,0.223,0.887,0.165,0.709106
8,10,9,0.223,0.887,0.165,0.922546
9,13,0,0.199,0.871,0.156,0.75885
9,13,1,0.199,0.871,0.156,0.795807
9,13,2,0.199,0.871,0.156,0.926636
9,13,3,0.199,0.871,0.156,0.572632
9,13,4,0.199,0.871,0.156,0.932861
9,13,5,0.199,0.871,0.156,0.212891
9,13,6,0.199,0.871,0.156,0.534485
9,13,7,0.199,0.871,0.156,0.979034
9,13,8,0.199,0.871,0.156,0.057892
9,13,8,0.199,0.871,0.156,0.017944
9,13,8,0.199,0.871,0.156,0.77832
9,13,9,0.199,0.871,0.156,0.074341
9,13,9,0.199,0.871,0.156,0.039886
9,13,9,0.199,0.871,0.156,0.923492
9,13,10,0.199,0.871,0.156,0.692352
9,13,11,0.199,0.871,0.156,0.623352
9,13,12,0.199,0.871,0.156,0.783936
10,7,0,0.2,0.876,0.158,0.993103
10,7,1,0.2,0.876,0.158,0.053101
10,7,1,0.2,0.876,0.158,0.201874
10,7,1,0.2,0.876,0.158,0.235779
10,7,2,0.2,0.876,0.158,0.26886
10,7,3,0.2,0.876,0.158,0.850891
10,7,4,0.2,0.876,0.158,0.587494
10,7,5,0.2,0.876,0.158,0.558899
10,7,6,0.2,0.876,0.158,0.025696
10,7,6,0.2,0.876,0.158,0.638916
10,7,6,0.2,0.876,0.158,0.479645
11,2,0,0.194,0.867,0.189,0.008118
11,2,0,0.194,0.867,0.189,0.301849
11,2,0,0.194,0.867,0.189,0.527557
11,2,1,0.194,0.867,0.189,0.290741
12,19,0,0.221,0.877,0.142,0.013214
12,19,0,0.221,0.877,0.142,0.390564
12,19,0,0.221,0.877,0.142,0.530914
12,19,1,0.221,0.877,0.142,0.876495
12,19,2,0.221,0.877,0.142,0.537384
12,19,3,0.221,0.877,0.142,0.69101
12,19,4,0.221,0.877,0.142,0.166931
12,19,4,0.221,0.877,0.142,0.793457
12,19,4,0.221,0.877,0.142,0.839203
12,19,5,0.221,0.877,0.142,0.401703
12,19,6,0.221,0.877,0.142,0.393188
12,19,7,0.221,0.877,0.142,0.580597
12,19,8,0.221,0.877,0.142,0.093231
12,19,8,0.221,0.877,0.142,0.436096
12,19,8,0.221,0.877,0.142,0.261414
12,19,9,0.221,0.877,0.142,0.563934
12,19,10,0.221,0.877,0.142,0.68631
12,19,11,0.221,0.877,0.142,0.027405
12,19,11,0.221,0.877,0.142,0.431366
12,19,11,0.221,0.877,0.142,0.981842
12,19,12,0.221,0.877,0.142,0.206757
12,19,12,0.221,0.877,0.142,0.777039
